State,Abbreviation,2013 ODR per 100,2014 ODR per 100,2015 ODR per 100,2016 ODR per 100,2017 ODR per 100,2018 ODR per 100,2019 ODR per 100
Alabama,AL,142.4,135.2,125.0,121.0,108.8,97.5,85.8
Alaska,AK,63.7,62.7,60.8,58.9,52.0,44.9,39.1
Arizona,AZ,80.4,79.7,75.5,70.2,60.8,50.7,44.1
Arkansas,AR,120.9,123.2,117.2,114.6,106.1,93.5,80.9
California,CA,54.4,52.7,47.7,44.8,39.8,35.1,30.9
Colorado,CO,71.2,69.6,65.1,59.8,52.4,45.1,40.0
Connecticut,CT,67.4,66.0,62.3,55.9,48.6,43.0,40.5
Delaware,DE,92.7,91.0,84.4,79.2,68.6,60.6,51.6
District of Columbia,DC,41.1,40.1,35.7,32.5,28.4,25.0,39.9
Florida,FL,73.5,71.4,67.1,66.6,61.5,53.7,45.4
Georgia,GA,86.6,83.8,79.4,77.8,71.3,63.2,57.9
Hawaii,HI,49.4,47.7,44.3,41.9,38.2,33.4,30.3
Idaho,ID,89.2,87.4,81.9,77.6,70.3,61.9,53.4
Illinois,IL,63.7,62.3,59.1,56.8,51.4,45.2,43.1
Indiana,IN,106.3,96.7,89.1,83.9,75.7,65.8,60.4
Iowa,IA,72.2,72.3,68.6,64.0,56.7,49.3,43.0
Kansas,KS,88.7,86.5,80.5,76.9,70.3,64.3,63.7
Kentucky,KY,111.7,110.0,102.6,97.2,88.1,79.5,72.3
Louisiana,LA,112.4,108.9,100.4,98.1,89.8,79.4,74.6
Maine,ME,85.9,82.4,76.5,66.9,55.5,48.1,44.1
Maryland,MD,69.0,67.6,63.0,58.7,52.0,45.1,42.3
Massachusetts,MA,63.0,59.6,54.0,47.1,40.0,35.3,35.4
Michigan,MI,98.9,98.0,90.5,84.9,75.5,62.7,58.0
Minnesota,MN,58.3,56.6,52.1,46.9,40.8,35.5,32.1
Mississippi,MS,119.6,116.3,110.9,105.6,93.4,76.8,67.0
Missouri,MO,93.3,90.7,84.5,80.4,72.2,63.4,58.3
Montana,MT,84.2,80.1,73.3,69.8,61.3,54.0,48.2
Nebraska,NE,71.3,70.1,65.5,62.8,56.6,50.6,50.3
Nevada,NV,91.1,90.1,85.4,80.7,73.2,55.5,49.4
New Hampshire,NH,82.0,79.6,74.8,64.3,52.5,46.1,38.1
New Jersey,NJ,58.3,57.2,56.0,52.6,45.0,38.9,34.8
New Mexico,NM,71.4,71.5,69.8,65.1,56.4,49.4,43.4
New York,NY,46.7,43.9,45.1,42.7,38.3,34.0,34.8
North Carolina,NC,96.7,93.7,88.4,82.5,72.2,61.5,56.7
North Dakota,ND,60.1,58.1,53.0,47.8,41.7,37.4,38.8
Ohio,OH,93.1,89.5,82.7,75.3,63.8,53.5,50.8
Oklahoma,OK,123.3,110.9,104.4,97.9,88.6,79.1,66.0
Oregon,OR,94.2,91.9,84.2,76.3,65.8,57.3,49.1
Pennsylvania,PA,81.6,79.9,75.5,69.5,58.3,49.9,47.0
Rhode Island,RI,76.9,72.8,65.7,60.3,51.4,43.0,40.3
South Carolina,SC,103.0,101.3,95.1,89.4,79.8,69.2,60.4
South Dakota,SD,60.6,61.7,59.1,54.8,48.8,42.6,43.9
Tennessee,TN,127.1,121.3,114.9,107.5,95.2,81.8,74.6
Texas,TX,70.0,67.0,59.8,57.6,52.2,47.2,42.1
Utah,UT,82.1,78.8,74.4,70.4,63.8,57.1,51.4
Vermont,VT,52.2,50.4,60.1,58.6,50.0,42.4,36.9
Virginia,VA,76.6,73.5,68.1,63.4,53.3,44.8,40.7
Washington,WA,75.2,74.2,69.8,64.9,57.1,49.3,42.7
West Virginia,WV,129.0,126.4,111.3,96.0,82.2,69.3,59.4
Wisconsin,WI,73.8,71.9,67.5,62.2,52.7,45.8,42.5
Wyoming,WY,81.5,80.9,75.4,71.1,64.4,57.1,49.7
United States,US,,,,,59.0,51.4,46.7
