State,Abbreviation,Age_adjusted_rate,Number_of_Deaths,Year
Alabama,AL,15.7,736,2015
Alaska,AK,16.0,122,2015
Arizona,AZ,19.0,1274,2015
Arkansas,AR,13.8,392,2015
California,CA,11.3,4659,2015
Colorado,CO,15.4,869,2015
Connecticut,CT,22.1,800,2015
Delaware,DE,22.0,198,2015
District Of Columbia,DC,18.6,125,2015
Florida,FL,16.2,3228,2015
Georgia,GA,12.7,1302,2015
Hawaii,HI,11.3,169,2015
Idaho,ID,14.2,218,2015
Illinois,IL,14.1,1835,2015
Indiana,IN,19.5,1245,2015
Iowa,IA,10.3,309,2015
Kansas,KS,11.8,329,2015
Kentucky,KY,29.9,1273,2015
Louisiana,LA,19.0,861,2015
Maine,ME,21.2,269,2015
Maryland,MD,20.9,1285,2015
Massachusetts,MA,25.7,1724,2015
Michigan,MI,20.4,1980,2015
Minnesota,MN,10.6,581,2015
Mississippi,MS,12.3,351,2015
Missouri,MO,17.9,1066,2015
Montana,MT,13.8,138,2015
Nebraska,NE,6.9,126,2015
Nevada,NV,20.4,619,2015
New Hampshire,NH,34.3,422,2015
New Jersey,NJ,16.3,1454,2015
New Mexico,NM,25.3,501,2015
New York,NY,13.6,2754,2015
North Carolina,NC,15.8,1567,2015
North Dakota,ND,8.6,61,2015
Ohio,OH,29.9,3310,2015
Oklahoma,OK,19.0,725,2015
Oregon,OR,12.0,505,2015
Pennsylvania,PA,26.3,3264,2015
Rhode Island,RI,28.2,310,2015
South Carolina,SC,15.7,761,2015
South Dakota,SD,8.4,65,2015
Tennessee,TN,22.2,1457,2015
Texas,TX,9.4,2588,2015
Utah,UT,23.4,646,2015
Vermont,VT,16.7,99,2015
Virginia,VA,12.4,1039,2015
Washington,WA,14.7,1094,2015
West Virginia,WV,41.5,725,2015
Wisconsin,WI,15.5,878,2015
Wyoming,WY,16.4,96,2015
