code,state,category,total_deaths,2014_Number_of_Deaths,2015_Number_of_Deaths,2016_Number_of_Deaths,2017_Number_of_Deaths,2018_Number_of_Deaths,2019_Number_of_Deaths,2020_Number_of_Deaths
AL,Alabama,state,5316,723,736,756,835,775,768,1029
AK,Alaska,state,887,124,122,128,147,110,132,160
AZ,Arizona,state,10187,1211,1274,1382,1532,1670,1907,2550
AR,Arkansas,state,2783,356,392,401,446,444,388,546
CA,California,state,34769,4521,4659,4654,4868,5348,6198,8908
CO,Colorado,state,6698,899,869,942,1015,995,1079,1492
CT,Connecticut,state,6372,623,800,971,1072,1069,1214,1371
DE,Delaware,state,2032,189,198,282,338,401,435,444
DC,District Of Columbia,state,1461,96,125,269,310,254,311,424
FL,Florida,state,28278,2634,3228,4728,5088,4698,5268,7231
GA,Georgia,state,9457,1206,1302,1394,1537,1404,1408,1916
HI,Hawaii,state,1332,157,169,191,203,213,242,274
ID,Idaho,state,1636,212,218,243,236,250,265,287
IL,Illinois,state,15946,1705,1835,2411,2778,2722,2790,3549
IN,Indiana,state,10295,1172,1245,1526,1852,1629,1699,2321
IA,Iowa,state,2131,264,309,314,341,287,352,432
KS,Kansas,state,2387,332,329,313,333,345,403,490
KY,Kentucky,state,9107,1077,1273,1419,1566,1315,1380,2083
LA,Louisiana,state,6926,777,861,996,1108,1140,1267,1896
ME,Maine,state,2194,216,269,353,424,345,371,496
MD,Maryland,state,12409,1070,1285,2044,2247,2324,2369,2771
MA,Massachusetts,state,13148,1289,1724,2227,2168,2241,2210,2302
MI,Michigan,state,15521,1762,1980,2347,2694,2591,2385,2759
MN,Minnesota,state,4448,517,581,672,733,636,792,1050
MS,Mississippi,state,2433,336,351,352,354,310,394,586
MO,Missouri,state,9131,1067,1066,1371,1367,1610,1583,1875
MT,Montana,state,894,125,138,119,119,125,143,162
NE,Nebraska,state,947,125,126,120,152,138,161,214
NV,Nevada,state,4385,545,619,665,676,688,647,832
NH,New Hampshire,state,2897,334,422,481,467,452,407,393
NJ,New Jersey,state,14406,1253,1454,2056,2685,2900,2805,2840
NM,New Mexico,state,3724,547,501,500,493,537,599,784
NY,New York,state,22227,2300,2754,3638,3921,3697,3617,4965
NC,North Carolina,state,13178,1358,1567,1956,2414,2259,2266,3146
ND,North Dakota,state,444,43,61,77,68,70,82,114
OH,Ohio,state,26469,2744,3310,4329,5111,3980,4251,5204
OK,Oklahoma,state,5228,777,725,813,775,716,645,762
OR,Oregon,state,3747,522,505,506,530,547,615,803
PA,Pennsylvania,state,27535,2732,3264,4627,5388,4415,4377,5168
RI,Rhode Island,state,2074,247,310,326,320,317,307,397
SC,South Carolina,state,6302,701,761,879,1008,1125,1127,1739
SD,South Dakota,state,476,63,65,69,73,57,86,83
TN,Tennessee,state,11313,1269,1457,1630,1776,1823,2089,3034
TX,Texas,state,19751,2601,2588,2831,2989,3005,3136,4172
UT,Utah,state,4332,603,646,635,650,624,571,622
VT,Vermont,state,810,83,99,125,134,153,133,190
VA,Virginia,state,8906,980,1039,1405,1507,1448,1547,2240
WA,Washington,state,7746,979,1094,1102,1169,1164,1259,1733
WV,West Virginia,state,5563,627,725,884,974,856,870,1330
WI,Wisconsin,state,7115,853,878,1074,1177,1079,1201,1531
WY,Wyoming,state,627,109,96,99,69,66,79,99
