code,state,category,total_deaths,2014_Number_of_Deaths,2015_Number_of_Deaths,2016_Number_of_Deaths,2017_Number_of_Deaths,2018_Number_of_Deaths,2019_Number_of_Deaths
AL,Alabama,state,4593,723,736,756,835,775,768
AK,Alaska,state,763,124,122,128,147,110,132
AZ,Arizona,state,8976,1211,1274,1382,1532,1670,1907
AR,Arkansas,state,2427,356,392,401,446,444,388
CA,California,state,30248,4521,4659,4654,4868,5348,6198
CO,Colorado,state,5799,899,869,942,1015,995,1079
CT,Connecticut,state,5749,623,800,971,1072,1069,1214
DE,Delaware,state,1843,189,198,282,338,401,435
DC,District Of Columbia,state,1365,96,125,269,310,254,311
FL,Florida,state,25644,2634,3228,4728,5088,4698,5268
GA,Georgia,state,8251,1206,1302,1394,1537,1404,1408
HI,Hawaii,state,1175,157,169,191,203,213,242
ID,Idaho,state,1424,212,218,243,236,250,265
IL,Illinois,state,14241,1705,1835,2411,2778,2722,2790
IN,Indiana,state,9123,1172,1245,1526,1852,1629,1699
IA,Iowa,state,1867,264,309,314,341,287,352
KS,Kansas,state,2055,332,329,313,333,345,403
KY,Kentucky,state,8030,1077,1273,1419,1566,1315,1380
LA,Louisiana,state,6149,777,861,996,1108,1140,1267
ME,Maine,state,1978,216,269,353,424,345,371
MD,Maryland,state,11339,1070,1285,2044,2247,2324,2369
MA,Massachusetts,state,11859,1289,1724,2227,2168,2241,2210
MI,Michigan,state,13759,1762,1980,2347,2694,2591,2385
MN,Minnesota,state,3931,517,581,672,733,636,792
MS,Mississippi,state,2097,336,351,352,354,310,394
MO,Missouri,state,8064,1067,1066,1371,1367,1610,1583
MT,Montana,state,769,125,138,119,119,125,143
NE,Nebraska,state,822,125,126,120,152,138,161
NV,Nevada,state,3840,545,619,665,676,688,647
NH,New Hampshire,state,2563,334,422,481,467,452,407
NJ,New Jersey,state,13153,1253,1454,2056,2685,2900,2805
NM,New Mexico,state,3177,547,501,500,493,537,599
NY,New York,state,19927,2300,2754,3638,3921,3697,3617
NC,North Carolina,state,11820,1358,1567,1956,2414,2259,2266
ND,North Dakota,state,401,43,61,77,68,70,82
OH,Ohio,state,23725,2744,3310,4329,5111,3980,4251
OK,Oklahoma,state,4451,777,725,813,775,716,645
OR,Oregon,state,3225,522,505,506,530,547,615
PA,Pennsylvania,state,24803,2732,3264,4627,5388,4415,4377
RI,Rhode Island,state,1827,247,310,326,320,317,307
SC,South Carolina,state,5601,701,761,879,1008,1125,1127
SD,South Dakota,state,413,63,65,69,73,57,86
TN,Tennessee,state,10044,1269,1457,1630,1776,1823,2089
TX,Texas,state,17150,2601,2588,2831,2989,3005,3136
UT,Utah,state,3729,603,646,635,650,624,571
VT,Vermont,state,727,83,99,125,134,153,133
VA,Virginia,state,7926,980,1039,1405,1507,1448,1547
WA,Washington,state,6767,979,1094,1102,1169,1164,1259
WV,West Virginia,state,4936,627,725,884,974,856,870
WI,Wisconsin,state,6262,853,878,1074,1177,1079,1201
WY,Wyoming,state,518,109,96,99,69,66,79
